Aleph: 444,3,49,54
Bet: 386,4,46,54
Gimel: 341,3,36,52
Dalet: 287,5,45,49
He: 232,5,45,52
Vav: 196,4,27,52
Zayin: 156,5,32,51
Het: 102,5,43,50
Tet: 45,5,49,52
Yod: 8,6,28,45
Khaf: 450,120,43,56
Khaf_Sofit: 391,121,44,62
Lamed: 338,101,49,76
Mem: 283,115,48,57
Mem_Sofit: 230,116,44,58
Nun: 187,118,35,57
Nun_Sofit: 148,119,26,67
Samekh: 96,118,44,55
Ayin: 37,120,47,67
Pe: 450,240,48,55
Pe_Sofit: 395,235,44,70
Tsade: 339,234,48,55
Tsade_Sofit: 283,234,44,69
Qoph: 227,235,48,69
Resh: 178,238,46,51
Shin: 107,238,58,51
Tav: 45,233,60,62
